ردیف,دسته بندی,محصول,وزن,عیار,فی تهیه اجرت درصدی,اجرت درصدی فروش,فی تهیه اجرت مبلغی,اجرت مبلغی فروش,فی تهیه سنگ,فی فروش سنگ,رنگ,نوع کالا,سایز,کد قدیمی,تصویر
524,کار ساخته بازار,GD01014392 - ماهور,1.13,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260706-803.jpg
525,کار ساخته بازار,GD01014390,1.75,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260701-866.jpg
526,کار ساخته بازار,GD01014389 - ماهور,1.04,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-495.jpg
527,کار ساخته بازار,GD01014388,1.7,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260706-590.jpg
528,کار ساخته بازار,GD01014387,1.78,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260702-197.jpg
529,کار ساخته بازار,GD01014386,1.77,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260702-594.jpg
530,کار ساخته بازار,GD01014385,1.66,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260702-424.jpg
531,کار ساخته بازار,GD01014384,1.63,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260701-651.jpg
532,کار ساخته بازار,GD01014383,1.81,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260701-880.jpg
533,کار ساخته بازار,GD01014382,2.35,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260701-916.jpg
534,کار ساخته بازار,GD01014381 - سولار,1.93,750.0,6.5,8.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-964.jpg
535,کار ساخته بازار,GD01014380 - سولار,1.85,750.0,6.5,8.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-299.jpg
536,کار ساخته بازار,GD01014379,2.15,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260701-453.jpg
537,کار ساخته بازار,GD01014378,1.86,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260701-719.jpg
